scores
46
42
43
42
42
61
49
43
49
89
42
43
84
52
57
53
43
44
43
55
42
43
43
42
53
54
43
44
60
42
68
67
50
73
43
43
43
80
42
64
51
52
67
43
42
49
42
53
85
43
51
52
53
52
82
57
42
52
43
53
56
62
54
60
42
39
40
39
48
47
55
49
49
49
48
40
52
85
39
39
39
39
70
47
48
39
39
65
49
60
64
40
72
40
47
42
50
66
66
42
60
72
43
42
56
43
42
42
42
68
50
58
42
50
43
67
42
69
52
41
75
42
42
42
120
51
50
121
52
59
71
51
65
69
42
42
66
52
43
43
59
70
51
50
55
64
73
41
57
72
42
42
42
81
55
67
50
99
51
63
42
74
64
51
70
41
43
52
43
42
55
42
60
74
50
42
42
51
84
43
52
50
89
58
86
42
42
49
42
85
59
56
89
66
69
53
42
42
122
55
68
50
181
68
42
98
56
65
59
53
76
50
58
42
59
74
65
87
85
54
51
51
43
122
65
41
97
60
142
96
50
61
42
49
66
43
42
81
62
62
51
83
95
60
42
74
42
82
42
50
51
51
42
76
51
61
61
61
52
55
51
61
66
100
97
43
114
82
51
84
100
53
50
100
136
60
60
42
66
64
82
41
53
190
68
58
157
127
78
90
66
63
52
56
114
50
42
